Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
F1,2002-08-02,Guingamp,Lyon,3,3,D,1,2,A,3.2,3.0,2.1,2.95,3.1,2.2,3.0,2.9,2.2,3.2,3.0,2.1,2.875,3.1,2.25,,,,1.9,1.7
F1,2002-08-03,Bastia,Lens,1,1,D,0,0,D,2.5,2.875,2.625,2.52,3.15,2.48,2.6,2.8,2.6,2.375,3.2,2.6,2.5,3.0,2.6,2.5,3.1,2.5,1.9,1.7
F1,2002-08-03,Lille,Bordeaux,0,3,A,0,1,A,2.1,3.0,3.2,2.0,3.15,3.35,2.2,2.8,3.1,2.2,3.0,3.0,2.1,3.0,3.25,2.2,3.1,2.87,1.85,1.75
F1,2002-08-03,Marseille,Nantes,0,2,A,0,0,D,2.25,3.0,2.875,2.25,3.05,2.9,2.2,2.9,3.0,2.25,3.2,2.75,2.3,3.1,2.8,2.2,3.0,3.0,1.85,1.75
F1,2002-08-03,Montpellier,Rennes,1,0,H,0,0,D,1.833,3.0,4.0,1.82,3.15,4.0,1.9,2.9,3.8,1.909,3.0,3.75,1.909,3.1,3.75,1.9,3.1,3.6,1.8,1.8
F1,2002-08-03,Nice,Le Havre,1,2,A,0,1,A,1.909,3.0,3.75,1.95,3.1,3.6,2.0,2.9,3.4,2.1,3.2,3.0,1.909,3.1,3.75,1.83,3.2,3.75,1.8,1.8
F1,2002-08-03,Paris SG,Auxerre,1,0,H,0,0,D,1.833,3.0,4.0,1.72,3.2,4.5,1.8,3.0,4.0,1.8,3.2,4.0,1.833,3.1,4.0,1.66,3.3,4.5,1.95,1.65
F1,2002-08-03,Sedan,Sochaux,0,0,D,0,0,D,2.0,3.0,3.4,2.1,3.0,3.25,1.9,2.9,3.8,2.1,3.0,3.2,2.1,3.0,3.25,2.0,3.1,3.3,1.75,1.85
F1,2002-08-03,Strasbourg,Ajaccio,1,1,D,1,1,D,1.833,3.0,4.0,1.9,3.1,3.75,1.85,3.0,3.8,1.909,3.0,3.75,1.85,3.1,4.0,1.8,3.1,4.0,1.75,1.85
F1,2002-08-03,Troyes,Monaco,0,4,A,0,2,A,2.1,3.0,3.2,2.0,3.1,3.4,2.1,3.0,3.1,2.1,3.0,3.2,2.1,3.0,3.25,2.1,3.1,3.1,1.8,1.8
F1,2002-08-08,Auxerre,Montpellier,2,0,H,0,0,D,1.667,3.4,4.333,1.65,3.35,5.0,1.65,3.1,4.8,,,,1.6,3.25,5.5,1.57,3.25,5.5,1.95,1.7
F1,2002-08-09,Bordeaux,Paris SG,0,0,D,0,0,D,2.2,3.0,3.0,2.22,3.0,3.22,2.0,2.9,3.4,2.2,2.8,3.2,2.05,3.1,3.25,2.1,3.0,3.2,1.95,1.65
F1,2002-08-10,Ajaccio,Guingamp,0,2,A,0,1,A,2.1,3.0,3.2,2.05,3.1,3.54,2.0,2.9,3.4,2.1,3.2,3.0,2.2,3.0,3.1,2.1,3.0,3.2,2.0,1.6
F1,2002-08-10,Le Havre,Lille,0,0,D,0,0,D,2.25,2.875,3.0,2.38,3.0,3.0,2.3,2.7,3.0,2.25,2.875,3.0,2.25,2.875,3.1,2.25,3.0,2.87,2.05,1.6
F1,2002-08-10,Lens,Sochaux,1,1,D,0,1,A,1.571,3.25,5.5,1.6,3.4,5.25,1.6,3.3,4.8,1.615,3.2,5.5,1.571,3.4,5.5,1.61,3.3,5.0,1.9,1.7
F1,2002-08-10,Lyon,Sedan,6,1,H,2,1,H,1.364,3.75,8.0,1.43,4.15,7.75,1.4,3.7,6.5,1.4,3.75,7.0,1.4,3.75,7.5,1.44,3.5,7.0,1.8,1.8
F1,2002-08-10,Monaco,Marseille,0,1,A,0,0,D,2.0,3.0,3.4,1.94,3.15,3.75,1.9,2.9,3.8,1.909,3.0,3.75,1.85,3.2,3.8,1.9,3.1,3.6,2.05,1.7
F1,2002-08-10,Nantes,Bastia,1,0,H,0,0,D,1.615,3.25,5.0,1.6,3.4,5.27,1.7,3.1,4.4,1.667,3.25,4.5,1.667,3.2,5.0,1.61,3.3,5.0,1.8,1.8
F1,2002-08-10,Nice,Strasbourg,4,0,H,2,0,H,2.1,3.0,3.2,2.2,3.0,3.35,2.2,2.8,3.1,2.1,3.0,3.2,2.1,3.0,3.3,1.9,3.0,3.75,1.95,1.65
F1,2002-08-10,Rennes,Troyes,0,0,D,0,0,D,2.0,3.0,3.4,1.94,3.15,3.75,1.9,3.0,3.6,2.0,3.2,3.2,2.0,3.0,3.5,1.83,3.0,4.0,1.89,1.75
F1,2002-08-16,Marseille,Lyon,1,1,D,1,1,D,2.4,3.0,2.7,2.6,3.1,2.63,2.6,2.7,2.7,2.5,3.2,2.5,2.5,3.1,2.6,2.5,2.9,2.62,1.9,1.77
F1,2002-08-17,Bastia,Monaco,1,0,H,0,0,D,2.25,3.0,2.875,2.3,3.0,2.92,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3.0,3.0,2.37,2.9,2.8,1.95,1.65
F1,2002-08-17,Guingamp,Rennes,3,0,H,1,0,H,1.909,3.0,3.75,2.22,2.9,3.7,1.9,2.9,3.8,2.0,3.0,3.4,2.0,3.0,3.75,2.1,2.8,3.4,2.05,1.6
F1,2002-08-17,Lille,Nice,0,3,A,0,2,A,1.667,3.25,4.5,1.66,3.35,5.35,1.6,3.4,4.6,1.571,3.25,5.5,1.667,3.3,5.0,1.66,3.1,5.0,2.0,1.65
F1,2002-08-17,Montpellier,Bordeaux,0,1,A,0,1,A,2.5,2.875,2.625,2.5,3.0,2.7,2.9,2.7,2.4,2.5,3.2,2.5,2.5,3.0,2.7,2.6,2.8,2.6,2.1,1.55
F1,2002-08-17,Paris SG,Ajaccio,2,2,D,2,0,H,1.364,3.75,8.0,1.35,3.85,8.75,1.35,4.0,7.0,1.364,3.75,8.0,1.4,3.75,8.0,1.36,3.6,9.0,1.85,1.75
F1,2002-08-17,Sedan,Lens,0,1,A,0,1,A,2.7,3.0,2.4,2.7,2.91,2.56,2.7,2.6,2.7,2.5,3.2,2.5,2.7,3.0,2.5,2.62,2.9,2.5,2.1,1.55
F1,2002-08-17,Sochaux,Nantes,4,2,H,1,1,D,2.375,3.0,2.75,2.54,2.91,2.9,2.5,2.9,2.6,2.375,2.875,2.8,2.375,3.0,2.875,2.37,2.9,2.8,2.05,1.6
F1,2002-08-17,Strasbourg,Le Havre,1,1,D,1,1,D,2.0,2.875,3.6,2.0,3.05,3.6,2.0,3.0,3.3,2.2,3.0,3.0,2.05,3.0,2.875,2.0,2.9,3.6,2.1,1.55
F1,2002-08-17,Troyes,Auxerre,1,2,A,1,0,H,2.375,2.875,2.8,2.6,2.9,2.8,2.4,2.9,2.7,2.375,2.875,2.8,2.4,2.9,2.9,2.4,2.9,2.75,2.05,1.6
F1,2002-08-23,Lille,Troyes,0,0,D,0,0,D,1.8,3.1,4.0,1.77,3.24,4.45,1.85,2.9,4.0,1.833,3.0,4.0,1.833,3.1,4.2,1.8,3.1,4.0,1.95,1.65
F1,2002-08-24,Ajaccio,Sedan,1,0,H,1,0,H,2.1,3.0,3.2,2.1,3.05,3.5,2.2,2.8,3.1,1.909,3.0,3.75,2.1,3.0,3.4,2.2,2.87,3.1,2.05,1.6
F1,2002-08-24,Auxerre,Guingamp,2,1,H,1,0,H,1.727,3.2,4.333,1.67,3.35,5.1,1.65,3.2,4.6,1.727,3.2,4.333,1.667,3.25,5.0,1.66,3.1,5.0,1.9,1.7
F1,2002-08-24,Bordeaux,Strasbourg,1,2,A,0,1,A,1.4,3.6,7.5,1.46,3.85,7.25,1.4,3.7,6.5,1.4,3.75,7.0,1.4,3.75,8.0,1.4,3.5,8.0,1.85,1.75
F1,2002-08-24,Lyon,Bastia,4,1,H,2,1,H,1.4,3.6,7.5,1.41,4.0,7.75,1.4,3.7,6.5,1.4,3.75,7.0,1.4,3.75,8.0,1.4,3.5,8.0,1.7,1.9
F1,2002-08-24,Monaco,Sochaux,1,0,H,1,0,H,1.8,3.1,4.0,1.86,3.2,4.25,1.8,2.9,4.2,1.8,3.2,4.0,1.8,3.1,4.333,1.9,3.1,3.6,1.9,1.7
F1,2002-08-24,Nantes,Lens,2,2,D,2,0,H,2.2,3.0,3.0,2.2,3.05,3.35,2.3,2.8,2.9,2.1,3.0,3.2,2.2,3.0,3.2,2.0,3.0,3.4,2.1,1.62
F1,2002-08-24,Nice,Montpellier,2,1,H,1,1,D,1.833,3.2,3.75,1.97,3.1,3.78,2.0,2.9,3.4,1.909,3.0,3.75,1.85,3.2,4.0,1.66,3.3,4.5,1.95,1.65
F1,2002-08-24,Rennes,Marseille,1,3,A,1,1,D,2.4,3.0,2.7,2.37,3.0,2.95,2.2,2.8,3.1,2.375,3.2,2.6,2.4,3.0,2.8,2.5,2.9,2.62,2.05,1.6
